pitch mph = 76, targetY = 1.8, endY = 0.62
pitch mph = 76, targetY = 1.9, endY = 0.92
pitch mph = 76, targetY = 1.9, endY = 0.86
pitch mph = 76, targetY = 1.9, endY = 0.79
pitch mph = 76, targetY = 1.9, endY = 0.73
pitch mph = 76, targetY = 2, endY = 1.02
pitch mph = 76, targetY = 2, endY = 0.96
pitch mph = 76, targetY = 2, endY = 0.90
pitch mph = 76, targetY = 2, endY = 0.83
pitch mph = 76, targetY = 2.1, endY = 1.12
pitch mph = 76, targetY = 2.1, endY = 1.06
pitch mph = 76, targetY = 2.1, endY = 1.00
pitch mph = 76, targetY = 2.1, endY = 0.94
pitch mph = 76, targetY = 2.2, endY = 1.21
pitch mph = 76, targetY = 2.2, endY = 1.16
pitch mph = 76, targetY = 2.2, endY = 1.11
pitch mph = 76, targetY = 2.2, endY = 1.05
pitch mph = 76, targetY = 2.3, endY = 1.21
pitch mph = 76, targetY = 2.3, endY = 1.16
pitch mph = 77, targetY = 1.5, endY = 0.52
pitch mph = 77, targetY = 1.6, endY = 0.62
pitch mph = 77, targetY = 1.6, endY = 0.55
pitch mph = 77, targetY = 1.6, endY = 0.48
pitch mph = 77, targetY = 1.7, endY = 0.72
pitch mph = 77, targetY = 1.7, endY = 0.66
pitch mph = 77, targetY = 1.7, endY = 0.59
pitch mph = 77, targetY = 1.8, endY = 0.82
pitch mph = 77, targetY = 1.8, endY = 0.76
pitch mph = 77, targetY = 1.8, endY = 0.69
pitch mph = 77, targetY = 1.9, endY = 0.92
pitch mph = 77, targetY = 1.9, endY = 0.86
pitch mph = 77, targetY = 1.9, endY = 0.80
pitch mph = 77, targetY = 2, endY = 1.02
pitch mph = 77, targetY = 2, endY = 0.97
pitch mph = 77, targetY = 2, endY = 0.91
pitch mph = 77, targetY = 2.1, endY = 1.12
pitch mph = 77, targetY = 2.1, endY = 1.07
pitch mph = 77, targetY = 2.1, endY = 1.01
pitch mph = 77, targetY = 2.2, endY = 1.17
pitch mph = 77, targetY = 2.2, endY = 1.12
pitch mph = 78, targetY = 1.5, endY = 0.59
pitch mph = 78, targetY = 1.5, endY = 0.52
pitch mph = 78, targetY = 1.6, endY = 0.69
pitch mph = 78, targetY = 1.6, endY = 0.63
pitch mph = 78, targetY = 1.6, endY = 0.56
pitch mph = 78, targetY = 1.6, endY = 0.49
